Position,G+T/window,G/T_ratio
250,0.492,0.6291390728476821
255,0.49,0.6225165562913907
260,0.486,0.609271523178808
265,0.484,0.6241610738255033
270,0.486,0.6308724832214765
275,0.48,0.6438356164383562
280,0.474,0.6458333333333334
285,0.474,0.6344827586206897
290,0.47,0.6549295774647887
295,0.47,0.6433566433566433
300,0.472,0.6503496503496503
305,0.476,0.6301369863013698
310,0.474,0.6232876712328768
315,0.474,0.6232876712328768
320,0.482,0.6066666666666667
325,0.482,0.5960264900662252
330,0.484,0.5816993464052288
335,0.48,0.5894039735099338
340,0.476,0.5761589403973509
345,0.474,0.58
350,0.472,0.5945945945945946
355,0.464,0.6
360,0.464,0.6111111111111112
365,0.464,0.6
370,0.468,0.5918367346938775
375,0.474,0.58
380,0.474,0.5906040268456376
385,0.472,0.6054421768707483
390,0.476,0.6081081081081081
395,0.472,0.6164383561643836
400,0.474,0.6232876712328768
405,0.466,0.6180555555555556
410,0.47,0.5986394557823129
415,0.468,0.5918367346938775
420,0.474,0.58
425,0.474,0.5695364238410596
430,0.474,0.5695364238410596
435,0.472,0.5629139072847682
440,0.472,0.5526315789473685
445,0.472,0.5526315789473685
450,0.462,0.5608108108108109
455,0.464,0.5570469798657718
460,0.47,0.5771812080536913
465,0.468,0.581081081081081
470,0.462,0.5714285714285714
475,0.456,0.5616438356164384
480,0.46,0.5753424657534246
485,0.466,0.5743243243243243
490,0.466,0.5637583892617449
495,0.468,0.5496688741721855
500,0.466,0.543046357615894
505,0.466,0.5328947368421053
510,0.466,0.5328947368421053
515,0.464,0.5263157894736842
520,0.466,0.512987012987013
525,0.466,0.5228758169934641
530,0.468,0.5394736842105263
535,0.464,0.5263157894736842
540,0.462,0.5298013245033113
545,0.464,0.5263157894736842
550,0.464,0.5064935064935064
555,0.466,0.512987012987013
560,0.464,0.5263157894736842
565,0.462,0.5298013245033113
570,0.47,0.525974025974026
575,0.474,0.5095541401273885
580,0.482,0.4968944099378882
585,0.482,0.4876543209876543
590,0.484,0.47560975609756095
595,0.49,0.48484848484848486
600,0.494,0.4879518072289157
605,0.492,0.4819277108433735
610,0.492,0.4909090909090909
615,0.488,0.47878787878787876
620,0.49,0.4759036144578313
625,0.49,0.46706586826347307
630,0.492,0.4642857142857143
635,0.492,0.4642857142857143
640,0.486,0.463855421686747
645,0.49,0.4759036144578313
650,0.488,0.4878048780487805
655,0.488,0.47878787878787876
660,0.486,0.4817073170731707
665,0.484,0.49382716049382713
670,0.484,0.5031055900621118
675,0.48,0.5
680,0.478,0.49375
685,0.478,0.484472049689441
690,0.474,0.49056603773584906
695,0.476,0.4875
700,0.48,0.4906832298136646
705,0.48,0.4906832298136646
710,0.48,0.5
715,0.474,0.5
720,0.472,0.5128205128205128
725,0.468,0.5294117647058824
730,0.468,0.5194805194805194
735,0.468,0.5096774193548387
740,0.466,0.5328947368421053
745,0.468,0.5394736842105263
750,0.466,0.5328947368421053
755,0.468,0.5496688741721855
760,0.47,0.5666666666666667
765,0.474,0.58
770,0.472,0.5733333333333334
775,0.474,0.5906040268456376
780,0.478,0.5933333333333334
785,0.478,0.5933333333333334
790,0.476,0.6081081081081081
795,0.476,0.6190476190476191
800,0.476,0.6081081081081081
805,0.47,0.6319444444444444
810,0.474,0.6344827586206897
815,0.478,0.636986301369863
820,0.474,0.6690140845070423
825,0.474,0.6690140845070423
830,0.472,0.6857142857142857
835,0.476,0.7
840,0.48,0.7266187050359713
845,0.48,0.7391304347826086
850,0.482,0.7214285714285714
855,0.484,0.7285714285714285
860,0.488,0.7304964539007093
865,0.49,0.75
870,0.486,0.7482014388489209
875,0.484,0.7536231884057971
880,0.484,0.7410071942446043
885,0.482,0.7463768115942029
890,0.48,0.7518248175182481
895,0.486,0.7357142857142858
900,0.484,0.7410071942446043
905,0.486,0.7357142857142858
910,0.484,0.7664233576642335
915,0.488,0.7553956834532374
920,0.484,0.7794117647058824
925,0.48,0.7777777777777778
930,0.488,0.781021897810219
935,0.488,0.7941176470588235
940,0.492,0.8088235294117647
945,0.488,0.8345864661654135
950,0.494,0.8432835820895522
955,0.494,0.8432835820895522
960,0.494,0.8161764705882353
965,0.496,0.7841726618705036
970,0.498,0.7913669064748201
975,0.502,0.7928571428571428
980,0.5,0.7730496453900709
985,0.496,0.7971014492753623
990,0.496,0.8102189781021898
995,0.492,0.8222222222222222
1000,0.496,0.8235294117647058
1005,0.492,0.849624060150376
1010,0.494,0.8432835820895522
1015,0.496,0.8507462686567164
1020,0.498,0.8444444444444444
1025,0.498,0.8308823529411765
1030,0.5,0.8382352941176471
1035,0.504,0.8260869565217391
1040,0.51,0.8085106382978723
1045,0.518,0.8368794326241135
1050,0.522,0.8642857142857143
1055,0.52,0.8571428571428571
1060,0.518,0.85
1065,0.52,0.8309859154929577
1070,0.51,0.8478260869565217
1075,0.506,0.8602941176470589
1080,0.5,0.8796992481203008
1085,0.5,0.9083969465648855
1090,0.496,0.9224806201550387
1095,0.498,0.9007633587786259
1100,0.496,0.8931297709923665
1105,0.5,0.8939393939393939
1110,0.498,0.8863636363636364
1115,0.504,0.8947368421052632
1120,0.498,0.9007633587786259
1125,0.498,0.9007633587786259
1130,0.502,0.9457364341085271
1135,0.496,0.952755905511811
1140,0.496,0.9682539682539683
1145,0.494,0.9603174603174603
1150,0.494,0.976
1155,0.49,0.9758064516129032
1160,0.492,0.968
1165,0.494,0.9448818897637795
1170,0.494,0.9296875
1175,0.5,0.937984496124031
1180,0.498,0.9302325581395349
1185,0.5,0.937984496124031
1190,0.502,0.9307692307692308
1195,0.498,0.9302325581395349
1200,0.496,0.9375
1205,0.498,0.9302325581395349
1210,0.504,0.9236641221374046
1215,0.508,0.9242424242424242
1220,0.51,0.9029850746268657
1225,0.51,0.9029850746268657
1230,0.514,0.8897058823529411
1235,0.51,0.8888888888888888
1240,0.514,0.9037037037037037
1245,0.512,0.9104477611940298
1250,0.514,0.917910447761194
1255,0.514,0.9037037037037037
1260,0.514,0.9037037037037037
1265,0.512,0.8686131386861314
1270,0.51,0.8613138686131386
1275,0.508,0.8540145985401459
1280,0.508,0.8405797101449275
1285,0.508,0.8540145985401459
1290,0.506,0.8467153284671532
1295,0.502,0.8592592592592593
1300,0.504,0.8394160583941606
1305,0.504,0.8394160583941606
1310,0.506,0.7943262411347518
1315,0.498,0.7913669064748201
1320,0.502,0.7928571428571428
1325,0.498,0.7785714285714286
1330,0.498,0.7535211267605634
1335,0.492,0.7697841726618705
1340,0.49,0.75
1345,0.488,0.7428571428571429
1350,0.484,0.7536231884057971
1355,0.49,0.7375886524822695
1360,0.486,0.723404255319149
1365,0.486,0.6993006993006993
1370,0.486,0.7112676056338029
1375,0.488,0.7183098591549296
1380,0.486,0.723404255319149
1385,0.494,0.7034482758620689
1390,0.496,0.6756756756756757
1395,0.498,0.6938775510204082
1400,0.502,0.6845637583892618
1405,0.5,0.6891891891891891
1410,0.498,0.6824324324324325
1415,0.494,0.7034482758620689
1420,0.49,0.7013888888888888
1425,0.494,0.7152777777777778
1430,0.488,0.7304964539007093
1435,0.49,0.7253521126760564
1440,0.486,0.723404255319149
1445,0.486,0.6993006993006993
1450,0.486,0.6875
1455,0.488,0.6827586206896552
1460,0.486,0.6643835616438356
1465,0.486,0.6875
1470,0.49,0.678082191780822
1475,0.488,0.6827586206896552
1480,0.488,0.6712328767123288
1485,0.49,0.678082191780822
1490,0.488,0.6712328767123288
1495,0.49,0.6666666666666666
1500,0.49,0.6442953020134228
1505,0.492,0.64
1510,0.488,0.6486486486486487
1515,0.488,0.6375838926174496
1520,0.488,0.6266666666666667
1525,0.492,0.64
1530,0.49,0.6225165562913907
1535,0.494,0.6143790849673203
1540,0.492,0.618421052631579
1545,0.486,0.5986842105263158
1550,0.486,0.577922077922078
1555,0.488,0.6158940397350994
1560,0.49,0.6013071895424836
1565,0.492,0.6291390728476821
1570,0.5,0.6339869281045751
1575,0.504,0.6470588235294118
1580,0.508,0.6601307189542484
1585,0.504,0.6470588235294118
1590,0.508,0.6387096774193548
1595,0.502,0.6405228758169934
1600,0.504,0.6258064516129033
1605,0.5,0.6339869281045751
1610,0.506,0.6428571428571429
1615,0.502,0.6405228758169934
1620,0.508,0.6493506493506493
1625,0.508,0.6601307189542484
1630,0.5,0.6233766233766234
1635,0.506,0.6217948717948718
1640,0.508,0.6178343949044586
1645,0.508,0.6178343949044586
1650,0.506,0.6114649681528662
1655,0.51,0.59375
1660,0.512,0.5900621118012422
1665,0.514,0.5864197530864198
1670,0.518,0.588957055214724
1675,0.516,0.5828220858895705
1680,0.516,0.5925925925925926
1685,0.516,0.5828220858895705
1690,0.512,0.5802469135802469
1695,0.514,0.5766871165644172
1700,0.518,0.5696969696969697
1705,0.512,0.5802469135802469
1710,0.51,0.5644171779141104
1715,0.51,0.5548780487804879
1720,0.506,0.5521472392638037
1725,0.506,0.5426829268292683
1730,0.502,0.5493827160493827
1735,0.506,0.5521472392638037
1740,0.504,0.5365853658536586
1745,0.502,0.5304878048780488
1750,0.496,0.5308641975308642
1755,0.498,0.5370370370370371
1760,0.494,0.5246913580246914
1765,0.492,0.5375
1770,0.498,0.5370370370370371
1775,0.504,0.5180722891566265
1780,0.506,0.5240963855421686
1785,0.502,0.5212121212121212
1790,0.504,0.5089820359281437
1795,0.504,0.5
1800,0.496,0.5121951219512195
1805,0.498,0.5
1810,0.492,0.50920245398773
1815,0.498,0.509090909090909
1820,0.494,0.49696969696969695
1825,0.494,0.5060975609756098
1830,0.492,0.5185185185185185
1835,0.494,0.5060975609756098
1840,0.49,0.5030674846625767
1845,0.494,0.5060975609756098
1850,0.5,0.5060240963855421
1855,0.496,0.503030303030303
1860,0.498,0.5182926829268293
1865,0.496,0.5214723926380368
1870,0.494,0.5153374233128835
1875,0.492,0.50920245398773
1880,0.492,0.50920245398773
1885,0.484,0.5220125786163522
1890,0.484,0.5316455696202531
1895,0.48,0.5286624203821656
1900,0.48,0.5286624203821656
1905,0.482,0.535031847133758
1910,0.484,0.5316455696202531
1915,0.48,0.5286624203821656
1920,0.482,0.5253164556962026
1925,0.48,0.5189873417721519
1930,0.478,0.5126582278481012
1935,0.48,0.5094339622641509
1940,0.482,0.4968944099378882
1945,0.478,0.5031446540880503
1950,0.474,0.5095541401273885
1955,0.472,0.5031847133757962
1960,0.47,0.525974025974026
1965,0.468,0.5194805194805194
1970,0.464,0.5263157894736842
1975,0.464,0.5263157894736842
1980,0.464,0.5263157894736842
1985,0.466,0.5032258064516129
1990,0.466,0.512987012987013
1995,0.468,0.5194805194805194
2000,0.47,0.525974025974026
2005,0.472,0.5225806451612903
2010,0.47,0.5359477124183006
2015,0.468,0.5394736842105263
2020,0.464,0.5570469798657718
2025,0.464,0.5570469798657718
2030,0.462,0.5714285714285714
2035,0.456,0.5833333333333334
2040,0.45,0.6071428571428571
2045,0.452,0.6028368794326241
2050,0.448,0.6
2055,0.444,0.574468085106383
2060,0.45,0.5957446808510638
2065,0.444,0.574468085106383
2070,0.442,0.5673758865248227
2075,0.438,0.5531914893617021
2080,0.43,0.5467625899280576
2085,0.43,0.5357142857142857
2090,0.424,0.5362318840579711
2095,0.426,0.5434782608695652
2100,0.424,0.5474452554744526
2105,0.424,0.5362318840579711
2110,0.42,0.5217391304347826
2115,0.422,0.5179856115107914
2120,0.418,0.5035971223021583
2125,0.42,0.48936170212765956
2130,0.426,0.5
2135,0.428,0.4861111111111111
2140,0.426,0.4689655172413793
2145,0.426,0.4689655172413793
2150,0.428,0.4557823129251701
2155,0.426,0.4689655172413793
2160,0.426,0.4791666666666667
2165,0.424,0.49295774647887325
2170,0.42,0.48936170212765956
2175,0.426,0.4791666666666667
2180,0.428,0.47586206896551725
2185,0.428,0.47586206896551725
2190,0.434,0.496551724137931
2195,0.432,0.5
2200,0.428,0.5070422535211268
2205,0.438,0.5208333333333334
2210,0.438,0.5208333333333334
2215,0.442,0.5136986301369864
2220,0.442,0.5241379310344828
2225,0.446,0.5170068027210885
2230,0.45,0.5202702702702703
2235,0.45,0.5100671140939598
2240,0.452,0.5066666666666667
2245,0.456,0.5099337748344371
2250,0.46,0.5032679738562091
2255,0.458,0.487012987012987
2260,0.462,0.5
2265,0.464,0.4967741935483871
2270,0.46,0.5032679738562091
2275,0.456,0.5302013422818792
2280,0.456,0.5405405405405406
2285,0.456,0.5405405405405406
2290,0.458,0.5472972972972973
2295,0.462,0.5503355704697986
2300,0.466,0.543046357615894
2305,0.466,0.5533333333333333
2310,0.47,0.5562913907284768
2315,0.466,0.5533333333333333
2320,0.468,0.5496688741721855
2325,0.468,0.5496688741721855
2330,0.468,0.5394736842105263
2335,0.468,0.5294117647058824
2340,0.472,0.5424836601307189
2345,0.466,0.5328947368421053
2350,0.462,0.5298013245033113
2355,0.462,0.54
2360,0.462,0.5197368421052632
2365,0.466,0.512987012987013
2370,0.468,0.5194805194805194
2375,0.466,0.5228758169934641
2380,0.47,0.5359477124183006
2385,0.474,0.538961038961039
2390,0.472,0.5324675324675324
2395,0.476,0.5256410256410257
2400,0.472,0.5225806451612903
2405,0.472,0.5225806451612903
2410,0.466,0.5228758169934641
2415,0.47,0.5359477124183006
2420,0.474,0.538961038961039
2425,0.474,0.5290322580645161
2430,0.474,0.5290322580645161
2435,0.474,0.538961038961039
2440,0.476,0.5454545454545454
2445,0.48,0.5584415584415584
2450,0.48,0.5584415584415584
2455,0.478,0.5723684210526315
2460,0.478,0.5620915032679739
2465,0.474,0.5592105263157895
2470,0.476,0.5454545454545454
2475,0.474,0.538961038961039
2480,0.47,0.5460526315789473
2485,0.47,0.5562913907284768
2490,0.474,0.5490196078431373
2495,0.47,0.5562913907284768
2500,0.462,0.5608108108108109
2505,0.462,0.5503355704697986
2510,0.464,0.5466666666666666
2515,0.466,0.5533333333333333
2520,0.464,0.5466666666666666
2525,0.466,0.543046357615894
2530,0.468,0.5294117647058824
2535,0.472,0.5424836601307189
2540,0.474,0.538961038961039
2545,0.47,0.5359477124183006
2550,0.468,0.5394736842105263
2555,0.47,0.5359477124183006
2560,0.466,0.5328947368421053
2565,0.466,0.5328947368421053
2570,0.466,0.5228758169934641
2575,0.466,0.5228758169934641
2580,0.47,0.5161290322580645
2585,0.472,0.5225806451612903
2590,0.47,0.525974025974026
2595,0.468,0.5294117647058824
2600,0.466,0.5533333333333333
2605,0.466,0.5637583892617449
2610,0.462,0.5714285714285714
2615,0.464,0.5570469798657718
2620,0.464,0.5675675675675675
2625,0.458,0.5902777777777778
2630,0.456,0.5833333333333334
2635,0.452,0.6028368794326241
2640,0.452,0.6028368794326241
2645,0.448,0.6
2650,0.446,0.6159420289855072
2655,0.446,0.6277372262773723
2660,0.448,0.6231884057971014
2665,0.448,0.6115107913669064
2670,0.45,0.6071428571428571
2675,0.444,0.6086956521739131
2680,0.444,0.5971223021582733
2685,0.448,0.6115107913669064
2690,0.442,0.5899280575539568
2695,0.442,0.5899280575539568
2700,0.444,0.5857142857142857
2705,0.438,0.5755395683453237
2710,0.432,0.5882352941176471
